Step,Point,Position X,Position Y,Position Z,Velocity X,Velocity Y,Velocity Z
29,1,0.196256,0.29826,-0.137035,-1.39118,-0.787846,0.51111
29,2,0.00481017,0.2588,-0.232871,1.67745,0.0898892,0.377036
29,3,-3.21078,3.59574,2.16531,-25.9199,28.1205,14.9298
30,0,3.69351,-3.90737,-1.91929,25.2986,-27.5286,-15.3277
30,1,0.180489,0.289999,-0.132852,-1.57675,-0.826122,0.418277
30,2,0.02344,0.260082,-0.228172,1.86299,0.128123,0.469992
30,3,-3.46997,3.87694,2.31461,-25.9193,28.12,14.9295
31,0,3.94649,-4.18265,-2.07256,25.2982,-27.5282,-15.3275
31,1,0.162286,0.281274,-0.130147,-1.8203,-0.872537,0.270509
31,2,0.0445051,0.261827,-0.221993,2.10651,0.174504,0.617856
31,3,-3.72916,4.15814,2.4639,-25.9189,28.1195,14.9292
32,0,4.19947,-4.45793,-2.22583,25.2978,-27.5277,-15.3273
32,1,0.140636,0.271979,-0.130129,-2.16498,-0.929464,0.00176671
32,2,0.0690168,0.264141,-0.213126,2.45117,0.231403,0.886675
32,3,-3.98835,4.43933,2.61319,-25.9185,28.1191,14.9289
33,0,4.45244,-4.7332,-2.37911,25.2975,-27.5274,-15.3272
33,1,0.113592,0.262094,-0.136362,-2.70439,-0.988514,-0.623303
33,2,0.0989225,0.267045,-0.198008,2.99057,0.290428,1.51181
33,3,-4.24753,4.72051,2.76247,-25.9182,28.1188,14.9287
34,0,4.70541,-5.00847,-2.53238,25.2972,-27.527,-15.327
34,1,0.0808373,0.254136,-0.166593,-3.27548,-0.79579,-3.02312
34,2,0.134539,0.268022,-0.158892,3.56164,0.0976844,3.91167
34,3,-4.50671,5.0017,2.91176,-25.9179,28.1185,14.9285
35,0,4.95838,-5.28374,-2.68565,25.2969,-27.5267,-15.3269
35,1,0.0786471,0.254081,-0.192441,-0.219025,-0.00549155,-2.58474
35,2,0.139591,0.261095,-0.124158,0.50518,-0.692632,3.47334
35,3,-4.76589,5.28288,3.06104,-25.9176,28.1182,14.9283
36,0,5.21135,-5.55901,-2.83891,25.2967,-27.5265,-15.3268
36,1,0.0843351,0.254933,-0.209461,0.568801,0.0851749,-1.70202
36,2,0.136764,0.253262,-0.0982517,-0.282653,-0.783314,2.59065
36,3,-5.02506,5.56406,3.21032,-25.9174,28.1179,14.9281
37,0,5.46431,-5.83427,-2.99218,25.2965,-27.5262,-15.3267
37,1,0.092843,0.255695,-0.2205,0.850793,0.076182,-1.10386
37,2,0.131118,0.245519,-0.0783265,-0.564651,-0.774334,1.99251
37,3,-5.28423,5.84524,3.3596,-25.9172,28.1177,14.928
38,0,5.71728,-6.10953,-3.14545,25.2963,-27.526,-15.3266
38,1,0.102541,0.25614,-0.227116,0.969846,0.0445231,-0.661614
38,2,0.124281,0.238092,-0.0628236,-0.683709,-0.742687,1.55029
38,3,-5.5434,6.12641,3.50888,-25.917,28.1175,14.9279
39,0,5.97024,-6.38479,-3.29871,25.2961,-27.5258,-15.3265
39,1,0.112709,0.256196,-0.230186,1.01677,0.00556138,-0.306989
39,2,0.116974,0.231055,-0.0508667,-0.730635,-0.703736,1.19569
39,3,-5.80257,6.40759,3.65816,-25.9168,28.1173,14.9278
40,0,6.2232,-6.66004,-3.45197,25.296,-27.5256,-15.3264
40,1,0.122949,0.255828,-0.230238,1.02394,-0.0367545,-0.005202
40,2,0.109596,0.22444,-0.0419276,-0.737815,-0.661429,0.893916
40,3,-6.06173,6.68876,3.80744,-25.9166,28.1171,14.9277
41,0,6.47616,-6.9353,-3.60524,25.2958,-27.5255,-15.3263
41,1,0.132998,0.255013,-0.227603,1.00489,-0.0815408,0.263467
41,2,0.102408,0.218274,-0.035675,-0.718768,-0.616651,0.625261
41,3,-6.3209,6.96993,3.95671,-25.9165,28.117,14.9276
42,0,6.72911,-7.21055,-3.7585,25.2957,-27.5253,-15.3262
42,1,0.142651,0.253722,-0.222488,0.965364,-0.129023,0.511498
42,2,0.095616,0.212582,-0.0319025,-0.67924,-0.569177,0.377242
42,3,-6.58006,7.25109,4.10599,-25.9163,28.1168,14.9275
43,0,6.98207,-7.4858,-3.91176,25.2956,-27.5252,-15.3261
43,1,0.151722,0.251922,-0.215011,0.907071,-0.180015,0.747708
43,2,0.0894065,0.2074,-0.0304921,-0.620948,-0.518191,0.141043
43,3,-6.83922,7.53226,4.25526,-25.9162,28.1167,14.9274
44,0,7.23502,-7.76105,-4.06502,25.2954,-27.5251,-15.3261
44,1,0.160011,0.249564,-0.20522,0.828923,-0.235853,0.979111
44,2,0.0839785,0.202777,-0.0313956,-0.542802,-0.462359,-0.0903516
44,3,-7.09839,7.81343,4.40453,-25.9161,28.1166,14.9273
45,0,7.48798,-8.0363,-4.21828,25.2953,-27.5249,-15.326
45,1,0.167281,0.246578,-0.193099,0.727029,-0.298558,1.21206
45,2,0.0795694,0.19878,-0.0346286,-0.44091,-0.39966,-0.323295
45,3,-7.35755,8.09459,4.55381,-25.916,28.1165,14.9273
46,0,7.74093,-8.31155,-4.37154,25.2952,-27.5248,-15.326
46,1,0.173217,0.242865,-0.178568,0.593601,-0.371273,1.45313
46,2,0.0764946,0.195511,-0.0402722,-0.307483,-0.32695,-0.564359
46,3,-7.6167,8.37576,4.70308,-25.9159,28.1164,14.9272
47,0,7.99388,-8.5868,-4.5248,25.2951,-27.5247,-15.3259
47,1,0.177357,0.238273,-0.161469,0.414003,-0.459207,1.70993
47,2,0.0752157,0.19312,-0.0484837,-0.127885,-0.239021,-0.821148
47,3,-7.87586,8.65692,4.85235,-25.9158,28.1163,14.9271
48,0,8.24683,-8.86204,-4.67806,25.295,-27.5246,-15.3259
48,1,0.17895,0.232555,-0.141551,0.159254,-0.571825,1.99172
48,2,0.0764843,0.191856,-0.059513,0.126863,-0.126407,-1.10294
48,3,-8.13502,8.93808,5.00162,-25.9157,28.1162,14.9271
49,0,8.49978,-9.13729,-4.83132,25.295,-27.5245,-15.3258
49,1,0.176595,0.225269,-0.118473,-0.235511,-0.728626,2.30779
49,2,0.0817006,0.19216,-0.0737031,0.521627,0.03039,-1.419
49,3,-8.39417,9.21924,5.15089,-25.9156,28.1161,14.927
50,0,8.75273,-9.41253,-4.98457,25.2949,-27.5244,-15.3258
50,1,0.167116,0.215497,-0.0920345,-0.947892,-0.977179,2.64389
50,2,0.0940407,0.19495,-0.091254,1.23401,0.278939,-1.7551
50,3,-8.65333,9.5004,5.30016,-25.9155,28.116,14.927
51,0,9.00568,-9.68778,-5.13783,25.2948,-27.5244,-15.3257
51,1,0.140937,0.20103,-0.0654173,-2.61786,-1.44675,2.66173
51,2,0.12308,0.202435,-0.108983,2.90397,0.748503,-1.77293
51,3,-8.91248,9.78156,5.44943,-25.9155,28.1159,14.9269
52,0,9.25863,-9.96302,-5.29109,25.2947,-27.5243,-15.3257
52,1,0.0976853,0.187905,-0.0804547,-4.32521,-1.31242,-1.50374
52,2,0.169194,0.208576,-0.0850579,4.61133,0.614169,2.39254
52,3,-9.17164,10.0627,5.5987,-25.9154,28.1158,14.9269
53,0,9.51157,-10.2383,-5.44435,25.2947,-27.5242,-15.3257
53,1,0.0716678,0.179763,-0.0966015,-2.60174,-0.814217,-1.61469
53,2,0.198072,0.209736,-0.0600231,2.88786,0.115967,2.50349
53,3,-9.43079,10.3439,5.74797,-25.9153,28.1158,14.9269
54,0,9.76452,-10.5135,-5.5976,25.2946,-27.5241,-15.3256
54,1,0.0507921,0.17284,-0.11126,-2.08758,-0.6923,-1.4659
54,2,0.221809,0.209676,-0.0364761,2.37369,-0.00595205,2.3547
54,3,-9.68994,10.625,5.89724,-25.9153,28.1157,14.9268
55,0,10.0175,-10.7887,-5.75086,25.2946,-27.5241,-15.3256
55,1,0.0323995,0.166452,-0.124834,-1.83925,-0.638813,-1.3573
55,2,0.243063,0.209082,-0.014015,2.12537,-0.0594418,2.24611
55,3,-9.9491,10.9062,6.04651,-25.9152,28.1156,14.9268
56,0,10.2704,-11.064,-5.90411,25.2945,-27.524,-15.3255
56,1,0.0154967,0.160365,-0.137623,-1.69028,-0.608668,-1.27894
56,2,0.262827,0.208186,0.00766246,1.9764,-0.0895891,2.16774
56,3,-10.2082,11.1873,6.19577,-25.9151,28.1156,14.9267
57,0,10.5234,-11.3392,-6.05737,25.2944,-27.5239,-15.3255
57,1,-0.000400399,0.154473,-0.149822,-1.58971,-0.589224,-1.21986
57,2,0.281585,0.207096,0.0287491,1.87583,-0.109036,2.10867
57,3,-10.4674,11.4685,6.34504,-25.9151,28.1155,14.9267
58,0,10.7763,-11.6145,-6.21062,25.2944,-27.5239,-15.3255
58,1,-0.0155666,0.148717,-0.161557,-1.51662,-0.575584,-1.17357
58,2,0.299612,0.205869,0.0493729,1.80273,-0.122678,2.06238
58,3,-10.7265,11.7497,6.49431,-25.915,28.1155,14.9267
59,0,11.0292,-11.8897,-6.36388,25.2943,-27.5238,-15.3255
59,1,-0.0301741,0.143063,-0.172919,-1.46075,-0.565455,-1.13618
59,2,0.317081,0.204541,0.0696229,1.74687,-0.132809,2.02499
59,3,-10.9857,12.0308,6.64357,-25.915,28.1154,14.9267
60,0,11.2822,-12.1649,-6.51713,25.2943,-27.5238,-15.3254
60,1,-0.0443387,0.137487,-0.183972,-1.41646,-0.557615,-1.10525
60,2,0.334107,0.203134,0.0895635,1.70258,-0.140651,1.99406
60,3,-11.2448,12.312,6.79284,-25.9149,28.1154,14.9266
61,0,11.5351,-12.4402,-6.67039,25.2943,-27.5237,-15.3254
61,1,-0.0581424,0.131973,-0.194763,-1.38037,-0.551354,-1.07916
61,2,0.350772,0.201665,0.109243,1.66648,-0.146914,1.96797
61,3,-11.504,12.5931,6.94211,-25.9149,28.1153,14.9266
62,0,11.7881,-12.7154,-6.82364,25.2942,-27.5237,-15.3254
62,1,-0.0716454,0.126511,-0.205331,-1.3503,-0.546231,-1.05681
62,2,0.367136,0.200145,0.128699,1.63642,-0.152039,1.94562
62,3,-11.7631,12.8743,7.09137,-25.9149,28.1153,14.9266
63,0,12.041,-12.9907,-6.97689,25.2942,-27.5236,-15.3254
63,1,-0.0848937,0.121091,-0.215705,-1.32482,-0.541955,-1.03741
63,2,0.383245,0.198582,0.147962,1.61094,-0.156316,1.92622
63,3,-12.0223,13.1554,7.24064,-25.9148,28.1152,14.9266
64,0,12.294,-13.2659,-7.13015,25.2941,-27.5236,-15.3253
64,1,-0.0979228,0.115708,-0.225909,-1.30291,-0.538329,-1.02039
64,2,0.399136,0.196982,0.167054,1.58903,-0.159944,1.9092
64,3,-12.2814,13.4366,7.3899,-25.9148,28.1152,14.9265
65,0,12.5469,-13.5411,-7.2834,25.2941,-27.5236,-15.3253
65,1,-0.110761,0.110356,-0.235962,-1.28385,-0.535212,-1.00532
65,2,0.414835,0.195352,0.185995,1.56997,-0.163062,1.89413
65,3,-12.5406,13.7177,7.53917,-25.9147,28.1152,14.9265
66,0,12.7998,-13.8164,-7.43665,25.2941,-27.5235,-15.3253
66,1,-0.123432,0.105031,-0.245881,-1.26708,-0.532501,-0.991857
66,2,0.430367,0.193694,0.204802,1.5532,-0.165774,1.88067
